exercise,utility,mechanics,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles,minor_muscle,major_muscle
Sled 45° Reverse Calf Raise (on hack press),Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Sled Kneeling Glute Kickback,Auxiliary,Compound,gluteus maximus,['Adductor Magnus'],"['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",[''],['Hamstrings'],Hips,Legs
Cable Glute Kickback,Auxiliary,Compound,gluteus maximus,['Adductor Magnus'],"['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",['Hamstrings'],[''],Hips,Legs
Lever Underhand Pulldown,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Dumbbell Pullover,Auxiliary,Isolated,"pectoralis major, sternal","['Latissimus Dorsi', 'Teres Major', 'Triceps, Long Head', 'Deltoid, Posterior', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae']","['Triceps Brachii', 'Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Chest,Chest
Smith Close Grip Incline Bench Press,Basic or Auxiliary,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Clavicular']",[''],['Biceps Brachii'],[''],Upper Arms,Arms
Barbell Sumo Deadlift,Basic,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Rear Bridge,Auxiliary,Isolated,erector spinae,[''],"['Gluteus Maximus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']",[''],"['Rectus Abdominis', 'Obliques']",Back,Back
Smith Stiff Leg Deadlift,Basic or Auxiliary,Compound,gluteus maximus,"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Wall Rear Neck Bridge,Basic or Auxiliary,Isolated,splenius,"['Trapezius, Upper', 'Levator Scapulae', 'Sternocleidomastoid, Posterior Fibers', 'Erector Spinae', 'Quadriceps']",['Gluteus Maximus'],[''],[''],Neck,Shoulders
Lever Seated Calf Raise (plate loaded),Auxiliary,Isolated,soleus,['Gastrocnemius'],['No significant stabilizers'],[''],[''],Calves,Legs
Barbell Bent Knee Good-morning,Auxiliary,Isolated,gluteus maximus,"['Adductor Magnus', 'Hamstrings']","['Erector Spinae', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Single Leg Squat (pistol),Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae (see notes)', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Lever Stiff Leg Deadlift (plate loaded),Basic or Auxiliary,Compound,gluteus maximus,"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Suspended Hyperextension,Basic or Auxiliary,Compound,hamstrings,"['Erector Spinae', 'Gluteus Maximus', 'Adductor Magnus']","['Deltoid, Anterior', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior', 'Triceps Brachii']",[''],"['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Lying Fly,Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Deltoid, Anterior', 'Serratus Anterior']",['No significant stabilizers'],[''],[''],Chest,Chest
Lever Lying Crunch (plate loaded),Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],[''],Waist,Legs
Cable Alternating Standing Pulldown,Basic or Auxiliary,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Suspended Rear Delt Inverted Row,Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus', 'Deltoid, Lateral']",['Biceps Brachii'],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Cable Rear Pulldown,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",[''],Back,Back
Self-assisted Single Leg Squat (leg wrapped),Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Cable Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Trap Bar Squat,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Hips,Legs
Cable Standing Rear Delt Row (stirrups),Basic or Auxiliary,Compound,"deltoid, posterior","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",['Erector Spinae'],['Biceps Brachii'],[''],Shoulders,Shoulders
Weighted Incline Twisting Sit-up (arms crossed),Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
Lever Back Extension,Auxiliary,Isolated,erector spinae,[' (see comments)'],['Quadriceps'],[''],[''],Back,Back
Lever Calf Extension,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Machine-assisted Chest Dip,Basic,Compound,"pectoralis major, sternal","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],[''],Chest,Chest
Step-up,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (second leg)']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (first leg)']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Overhand Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Weighted Incline Sit-up,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']",['Tibialis Anterior'],[''],[''],Waist,Legs
Single Leg Hip Thrust,Auxiliary,Isolated,gluteus maximus,['Adductor Magnus'],"['Erector Spinae', 'Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Quadriceps']",[''],"['Rectus Abdominis', 'Obliques']",Hips,Legs
Barbell Standing Leg Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Barbell Alternating Lunge To Rear Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Lever Curl,Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']",['Wrist Flexors'],[''],[''],Upper Arms,Arms
Inverse Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']","['Gluteus Maximus', 'Adductor Magnus', 'Erector Spinae']",[''],"['Rectus Abdominis', 'Obliques', 'Rectus Femoris', 'Tibialis Anterior']",Thighs,Legs
Suspended Neck Flexion,Basic or Auxiliary,Isolated,sternocleidomastoid,['None'],"['Rectus Abdominis', 'Obliques', 'Quadriceps']",[''],['Erector Spinae'],Neck,Shoulders
Barbell Curl,Basic,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Lever Standing Leg Curl (on leg extension),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",[''],[''],['Tibialis Anterior'],Thighs,Legs
Weighted Neck Extension,Basic or Auxiliary,Isolated,splenius,"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[''],[''],Neck,Shoulders
Barbell Side Lunge,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus (lead leg)', 'Adductors (extended leg)', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Parallel Grip Chest Press,Basic,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",[''],Chest,Chest
Lever Seated Low Row (plate loaded),Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Leg Curl (on ball),Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",['\xa0(see comments)'],[''],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable One Arm Wrist Curl,Basic or Auxiliary,Isolated,wrist flexors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Cable Bar Shoulder Press,Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Cambered Barbell Seated Shrug,Basic or Auxiliary,Isolated,"trapezius, upper","['Trapezius, Middle', 'Levator Scapulae']",['No significant stabilizers'],[''],[''],Back,Back
Sled Standing Calf Raise,Basic,Isolated,gastrocnemius,['Soleus'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Barbell Alternating Lunge & Rear Lunge,Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Barbell Behind Neck Press,Basic,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Cable Reverse Curl,Auxiliary,Isolated,brachioradialis,"['Brachialis', 'Biceps Brachii']","['Deltoid, Anterior', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Extensors']",[''],[''],Forearms,Arms
Smith Rear Lunge,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lying Neck Retraction Isometric,Auxiliary,Isolated,splenius,[''],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Longus capitis', 'Longus colli', 'Rectus capitus']",[''],[''],Neck,Shoulders
Lever Alternating Narrow Grip Seated Row (plate loaded),Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Y Raise,Auxiliary,Isolated,"deltoid, lateral","['Supraspinatus', 'Teres Minor', 'Infraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior, Inferior Digitations', 'Deltoid, Anterior', 'Deltoid, Posterior']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors', 'Erector Spinae', 'Gluteus Maximus', 'Hamstrings']",[''],"['Rectus Abdominis', 'Obliques']",Shoulders,Shoulders
Suspended Hanging Leg Curl,Basic or Auxiliary,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Gluteus Maximus', 'Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['Rectus Femoris'],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']",Thighs,Legs
Lever Reverse Calf Raise (plate loaded),Basic or Auxiliary,Isolated,tibialis anterior,['None'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Calves,Legs
Dumbbell Step-up,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (second leg)']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (first leg)']",['Rectus Abdominis'],Thighs,Legs
Lever One Arm Front Raise,Auxiliary,Isolated,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']",['Wrist Extensors'],[''],[''],Shoulders,Shoulders
Single Leg Reverse Calf Raise,Auxiliary,Isolated,tibialis anterior,['None'],"['Gluteus Medius', 'Gluteus Maximus', 'Quadratus Lumborum', 'Obliques']",[''],[''],Calves,Legs
Sled 45° Calf Raise (plate loaded),Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Inverted Biceps Row,Basic or Auxiliary,Compound,biceps brachii,"['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Hamstrings', 'Gluteus Maximus']","['Triceps, Long Head']","['Rectus Abdominis', 'Obliques']",Upper Arms,Arms
Smith Reverse Calf Raise,Basic or Auxiliary,Isolated,tibialis anterior,['None'],['No significant stabilizers'],[''],[''],Calves,Legs
Dumbbell Arnold Press,Basic or Auxiliary,Compound,"deltoid, anterior","['Deltoid, Lateral', 'Supraspinatus', 'Triceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head']",[''],Shoulders,Shoulders
Lying Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']","['Quadriceps', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",['Rectus Femoris'],[''],Waist,Legs
Incline Push-up,Basic or Auxiliary,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Rectus Abdominis', 'Obliques', 'Pectoralis Minor', 'Serratus Anterior', 'Quadriceps', 'Gastrocnemius', 'Soleus']","['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Lever Leg Extension (plate loaded),Auxiliary,Isolated,quadriceps,['None'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']",[''],[''],Thighs,Legs
Lever Single Leg Seated Leg Press,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Seated Fly,Auxiliary,Isolated,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Deltoid, Anterior', 'Biceps Brachii, Short Head', 'Serratus Anterior']","['Biceps Brachii', 'Brachialis', 'Wrist Flexors']",[''],[''],Chest,Chest
Cable Bar Bent-over Triceps Extension,Basic or Auxiliary,Isolated,triceps brachii,['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors', 'Rectus Abdominis', 'Obliques']",[''],['Erector Spinae'],Upper Arms,Arms
Suspended Self-assisted Pull-up,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Middle', 'Trapezius, Lower', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Dumbbell Reverse Wrist Curl,Basic or Auxiliary,Isolated,wrist extensors,['None'],['No significant stabilizers'],[''],[''],Forearms,Arms
Lever Standing Calf Raise (belt loaded),Basic,Isolated,gastrocnemius,['Soleus'],['No significant stabilizers'],[''],[''],Calves,Legs
Weighted Overhead Crunch (on stability ball),Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Dumbbell Front Squat,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Cable Lying Hip Adduction,Auxiliary,Isolated,"adductors, hip","['Pectineus', 'Gracilis']","['Iliopsoas', 'Rectus Femoris', 'Tensor Fasciae Latae', 'Sartorius', 'Rectus Abdominis', 'Obliques']",[''],[''],Hips,Legs
Barbell Bench Press (power lift),Basic,Compound,"pectoralis major, sternal","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']","['Erector Spinae', 'Gluteus Maximus']","['Biceps Brachii, Short Head']",[''],Chest,Chest
Suspended Self-assisted Triceps Dip,Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Weighted Twisting Sit-up,Basic,Compound,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Rectus Abdominis']",['Tibialis Anterior'],[''],[''],Waist,Legs
Cable Standing Overhead Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head', 'Rhomboids', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior']",[''],[''],Waist,Legs
Decline Push-up (on stability ball),Basic or Auxiliary,Compound,"pectoralis major, clavicular","['Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",['Serratus Anterior'],"['Biceps Brachii, Short Head']",['Erector Spinae'],Chest,Chest
Cable Seated Crunch,Auxiliary,Isolated,rectus abdominis,['Obliques'],['No significant stabilizers'],[''],[''],Waist,Legs
Crunch Up,Auxiliary,Isolated,rectus abdominis,['Obliques'],['Hip Flexors'],[''],[''],Waist,Legs
Smith Shoulder Press,Basic,Compound,"deltoid, anterior","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",[''],Shoulders,Shoulders
Cable One Arm Incline Push,Auxiliary,Compound,serratus anterior,"['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii', 'Obliques']",['Rectus Femoris'],[''],[''],Chest,Chest
Vertical Twisting Leg Raise (on dip bar),Auxiliary,Isolated,obliques,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Deltoid, Posterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Trapezius, Lower', 'Triceps Brachii']",['Rectus Femoris'],[''],Waist,Legs
Smith Wide Squat,Basic,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']",Thighs,Legs
Sled Hack Press,Basic or Auxiliary,Compound,quadriceps,"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Thighs,Legs
Cable Simultaneous Alternating Standing Pulldown,Basic or Auxiliary,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",[''],Back,Back
Incline Crunch (arms down),Auxiliary,Isolated,rectus abdominis,['Obliques'],['Tibialis Anterior'],[''],[''],Waist,Legs
Triceps Dip (between benches),Basic,Compound,triceps brachii,"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],[''],Upper Arms,Arms
Lever Bent-over Leg Curl,Basic,Isolated,hamstrings,"['Gastrocnemius', 'Sartorius', 'Gracilis']","['Gluteus Medius', 'Gluteus Minimus']",[''],[' (see comment)'],Thighs,Legs
Weighted Belt Squat,Basic or Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Lever Split V-Squat,Auxiliary,Compound,gluteus maximus,"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",[''],Hips,Legs
Weighted Close Grip Push-up,Basic,Compound,triceps brachii,"['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior']","['Rectus Abdominis', 'Obliques', 'Quadriceps']","['Biceps Brachii, Short Head']",[''],Upper Arms,Arms
Lever Donkey Calf Raise (plate loaded),Basic,Isolated,gastrocnemius,['Soleus'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",[''],[''],Calves,Legs
Cable Parallel Grip Pulldown,Basic,Compound,latissimus dorsi,"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Lever Alternating Underhand Seated Row (plate loaded),Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
Cable Lying Leg-Hip Raise,Basic,Compound,rectus abdominis,"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],[''],Waist,Legs
Lever Seated Leg Curl (plate loaded),Basic,Isolated,hamstrings,"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",[''],[''],['Tibialis Anterior'],Thighs,Legs
Cable Seated Curl,Basic or Auxiliary,Isolated,biceps brachii,"['Brachialis', 'Brachioradialis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Wrist Flexors']",[''],[''],Upper Arms,Arms
Lever Alternating Seated High Row,Basic or Auxiliary,Compound,"back, general","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",[''],Back,Back
