exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles,dynamic_stabilizer_muscles,antagonist_stabilizer_muscles
Lever 45° Reverse Calf Raise (plate loaded),Basic or Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers'],[''],['']
Barbell JM Bench Press,Basic,Compound,Push,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular']",['Wrist Flexors'],['Biceps Brachii'],['']
Dumbbell Straight-back Straight-leg Deadlift,Basic or Auxiliary,Isolated,Pull,['Hamstrings'],"['Gluteus Maximus', 'Adductor Magnus']","['Erector Spinae', 'Trapezius, Middle', 'Rhomboids', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Cable One Arm Single Leg Split Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Obliques', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",['']
Smith Stiff Leg Deadlift,Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Trap Bar Stiff Leg Deadlift,Basic or Auxiliary,Compound,Pull,['Gluteus Maximus'],"['Erector Spinae', 'Adductor Magnus', 'Hamstrings']","['Quadriceps', 'Trapezius, Middle', 'Rhomboids', 'Latissimus Dorsi', 'Trapezius, Upper', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Rectus Abdominis', 'Obliques']"
Sled Alternating 45° Leg Press,Basic or Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Suspended Hip Bridge,Auxiliary,Isolated,Push,['Gluteus Maximus'],[''],"['Erector Spinae', 'Hamstrings', 'Sartorius', 'Popliteus', 'Gastrocnemius']",[''],"['Rectus Abdominis', 'Obliques', 'Tibialis Anterior']"
Lever Seated Reverse Fly (pronated parallel grip),Auxiliary,Isolated,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors']",[''],['']
Dumbbell Shoulder Internal Rotation (on floor),Auxiliary,Isolated,Pull,['Subscapularis'],"['Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Anterior']",['Wrist Flexors'],[''],['']
Weighted Front Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Supraspinatus', 'Pectoralis Major, Clavicular', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Trapezius, Lower', 'Serratus Anterior', 'Brachioradialis', 'Brachialis', 'Biceps Brachii']","['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Contralateral Superman,Auxiliary,Isolated,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Hamstrings', 'Trapezius, Lower', 'Trapezius, Middle']","['Deltoid, Anterior', 'Deltoid, Lateral', 'Splenius']",[''],['']
Dumbbell Decline Triceps Extension,Auxiliary,Isolated,Push,['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Extensor Carpi Ulnaris', 'Flexor Carpi Ulnaris']",[''],['']
Lever Roller Wrist Extension,Auxiliary,Isolated,Pull,['Wrist Extensors'],['None'],['Wrist/Finger Flexors'],[''],['']
Weighted Hanging Leg-Hip Raise,Basic,Compound,Pull,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis', 'Obliques']",[''],['Rectus Femoris'],['']
Smith Upright Row,Basic,Compound,Pull,"['Deltoid, Lateral']","['Deltoid, Anterior', 'Supraspinatus', 'Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Infraspinatus', 'Teres Minor']","['Trapezius, Upper', 'Levator Scapulae']",[''],['']
Cable One Arm Split Squat,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Erector Spinae', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Dumbbell Lying Row,Basic,Compound,Pull,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']",[''],"['Biceps Brachii', 'Triceps, Long Head']",['']
Cable Lying Hip External Rotation,Auxiliary,Isolated,Pull,['Hip External Rotators (listed below)'],"['Gemellus superior', 'Gemellus inferior', 'Obturator internus', 'Obturator externus', 'Quadratus femoris', 'Piriformis', 'Gluteus maximus', 'Sartorius', 'Gluteus medius, posterior fibers']","['Obliques', 'Adductors, Hip']",[''],['']
Wheel Rollout,Auxiliary,Isolated,Pull,['Iliopsoas'],"['Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Latissimus Dorsi', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Deltoid, Posterior', 'Rhomboids']","['Rectus Abdominis', 'Obliques', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Serratus Anterior', 'Wrist Flexors']",['Rectus Femoris'],['Erector Spinae']
Sled Hack Squat,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable Push Pull,Power,Compound,Push & Pull,[''],[''],[''],[''],['']
Lever Seated Hip Abduction,Auxiliary,Isolated,Push,['Hip Abductors (listed below)'],"['Gluteus Medius', 'Gluteus Minimus', 'Gluteus Maximus', 'Piriformis', 'Obturator externus']",['No significant stabilizers'],[''],['']
Cable Standing Rear Delt Row (stirrups),Basic or Auxiliary,Compound,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Brachialis', 'Brachioradialis']",['Erector Spinae'],['Biceps Brachii'],['']
Cable Standing Twisting Crunch (single side),Auxiliary,Isolated,Pull,['Obliques'],"['Rectus Abdominis', 'Psoas major']",['No significant stabilizers'],[''],['']
45° Hyperextension (arms crossed),Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],['']
Trap Bar Shrug (elevated stand),Basic,Isolated,Pull,"['Trapezius, Upper']","['Trapezius, Middle', 'Levator Scapulae']",['Erector Spinae'],[''],['']
Cable Seated Fly,Auxiliary,Isolated,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Biceps Brachii, Short Head']","['Biceps Brachii', 'Brachialis', 'Triceps Brachii', 'Wrist Flexors']",[''],['']
Lever Bent-over Glute Kickback (plate loaded),Auxiliary,Compound,Push,['Gluteus Maximus'],"['Adductor Magnus', 'Quadriceps']","['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",['Hamstrings'],['']
Twisting Crunch (on stability ball),Auxiliary,Isolated,Pull,['Obliques'],['Rectus Abdominis'],['No significant stabilizers'],[''],['']
Cable Twist,Auxiliary,Isolated,Pull,[''],"['Tensor fasciae latae', 'Gluteus medius', 'Gluteus minimus, anterior fibers', 'Adductors, Hip', 'Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Rectus Abdominis', 'Erector Spinae', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Lateral', 'Deltoid, Posterior', 'Triceps']",[''],['']
Lever Seated Leg Raise Crunch (plate loaded),Auxiliary,Isolated,Pull,['Rectus Abdominis'],['Obliques'],"['Tensor Fasciae Latae', 'Rectus Femoris', 'Pectineus', 'Sartorius', 'Pectoralis Major, Sternal', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Triceps, Long Head']",[''],['']
Lever Single Leg Seated Leg Curl (plate loaded),Basic or Auxiliary,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Gracilis', 'Sartorius', 'Popliteus']",[''],[''],['Tibialis Anterior']
Dumbbell Step-up,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (Second Leg)']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (First Leg)']","['Rectus Abdominis', 'Obliques']"
Dumbbell Seated Curl,Basic or Auxiliary,Isolated,Pull,['Biceps Brachii'],"['Brachialis', 'Brachioradialis']","['Deltoid, Anterior', 'Wrist Flexors']",[''],['']
Weighted Parallel Close Grip Pull-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",['']
Lever Vertical Leg Raise,Auxiliary,Isolated,Pull,['Iliopsoas'],"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Deltoid, Anterior', 'Triceps Brachii']",[''],['']
Lever Donkey Reverse Calf Raise,Basic or Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],"['Serratus Anterior', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Triceps Brachii']",[''],['']
Lever Shoulder Press (plate loaded),Basic,Compound,Push,"['Deltoid, Anterior']","['Pectoralis Major, Clavicular', 'Triceps Brachii', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']","['Triceps, Long Head', 'Biceps Brachii']",['']
Cable Bent-over Hip Extension,Auxiliary,Isolated,Push,['Gluteus Maximus'],['Hamstrings'],"['Obliques', 'Erector Spinae', 'Quadratus Lumborum', 'Gluteus Medius', 'Gluteus Minimus']",[''],['']
Barbell Deadlift,Basic,Compound,Pull,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Hamstrings (top half)', 'Soleus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Upper', 'Levator Scapulae', 'Rhomboids']","['Hamstrings (bottom half)', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Cable Lying Leg Curl,Basic,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[''],[''],"['Tibialis Anterior', 'Rectus Femoris']"
Cable Standing Crunch,Auxiliary,Isolated,Pull,['Rectus Abdominis'],['Obliques'],['No significant stabilizers'],[''],['']
Weighted Lying Twist,Auxiliary,Isolated,Pull,['Obliques'],"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Posterior', 'Triceps', 'Adductors, Hip']",[''],['']
Self-assisted Chest Dip,Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi', 'Teres Major']","['Trapezius, Lower']",[''],['']
Barbell Side Lunge,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus (lead leg)', 'Adductors (extended leg)', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Dumbbell Standing Preacher Curl (on incline bench),Auxiliary,Isolated,Pull,['Brachialis'],"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],['']
Lever Standing Tibia Raise (plate loaded),Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers'],[''],['']
Band-assisted Neutral Grip Chin-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Biceps Brachii', 'Triceps, Long Head']",['']
Suspended Row,Basic or Auxiliary,Compound,Pull,"['Back, General']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Infraspinatus', 'Teres Minor', 'Brachialis', 'Brachioradialis', 'Pectoralis Major, Sternal']","['Erector Spinae', 'Gluteus Maximus', 'Hamstrings']","['Biceps Brachii', 'Triceps, Long Head']","['Rectus Abdominis', 'Obliques']"
Weighted Incline Twisting Crunch (arms crossed),Auxiliary,Isolated,Pull,['Obliques'],"['Rectus Abdominis', 'Psoas Major']",['Tibialis Anterior'],[''],['']
Lever Pec Deck Fly,Auxiliary,Isolated,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Serratus Anterior']",['No significant stabilizers'],[''],['']
Lever Lying Leg Curl,Basic,Isolated,Pull,['Hamstrings'],"['Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']",[''],[''],"['Tibialis Anterior', 'Rectus Femoris']"
Smith Wide Squat,Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Barbell Single Leg Squat,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Erector Spinae (see notes)']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques', 'Rectus Abdominis']","['Hamstrings', 'Gastrocnemius']",['']
Dumbbell Single Leg Calf Raise,Basic or Auxiliary,Isolated,Push,['Gastrocnemius'],['Soleus'],"['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],['']
Cable Y Raise,Auxiliary,Isolated,Pull,"['Deltoid, Lateral']","['Supraspinatus', 'Teres Minor', 'Infraspinatus', 'Trapezius, Lower', 'Trapezius, Middle', 'Serratus Anterior, Inferior Digitations', 'Deltoid, Anterior', 'Deltoid, Posterior']","['Trapezius, Upper', 'Levator Scapulae', 'Wrist Extensors', 'Erector Spinae', 'Gluteus Maximus', 'Hamstrings']",[''],"['Rectus Abdominis', 'Obliques']"
Cable Rear Pulldown,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower']",[''],"['Triceps, Long Head']",['']
Single Leg Hanging Hamstring Bridge Curl,Basic or Auxiliary,Compound,Pull,['Hamstrings'],"['Gluteus Maximus', 'Adductor Magnus', 'Latissimus Dorsi', 'Pectoralis Major, Sternal', 'Triceps, Long Head', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor', 'Gastrocnemius', 'Sartorius', 'Gracilis', 'Popliteus']","['Erector Spinae', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']",['Rectus Femoris'],"['Tibialis Anterior', 'Rectus Abdominis', 'Obliques']"
Sled 45° Reverse Calf Press,Basic or Auxiliary,Isolated,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers'],[''],['']
Dumbbell Triceps Extension,Basic or Auxiliary,Isolated,Push,['Triceps Brachii'],['None'],"['Deltoid, Anterior', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",[''],['']
Barbell Preacher Curl,Auxiliary,Isolated,Pull,['Brachialis'],"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],['']
Barbell Walking Lunge,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Dumbbell Push Sit-up,Basic,Compound,Push,['Rectus Abdominis'],"['Iliopsoas', 'Tensor Fasciae Latae', 'Rectus Femoris', 'Sartorius', 'Obliques']","['Tibialis Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Deltoid, Lateral', 'Pectoralis Minor', 'Serratus Anterior', 'Triceps Brachii']",[''],['']
Step-down,Basic or Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (following leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (lead leg)']","['Rectus Abdominis', 'Obliques']"
Cable One Arm Pulldown,Basic or Auxiliary,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Teres Major', 'Deltoid, Posterior', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Trapezius, Middle', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",['Stabilizers'],"['Biceps Brachii', 'Triceps, Long Head']",['']
Lever Barbell Bench Press (plate loaded),Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",['']
Weighted Lying Leg Raise,Auxiliary,Isolated,Pull,['Iliopsoas'],"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Quadriceps']",['Rectus Femoris'],['']
Lever Seated Leg Press (plate loaded),Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",[''],"['Hamstrings', 'Gastrocnemius']",['']
Cable Single Leg Calf Raise,Basic or Auxiliary,Isolated,Push,['Gastrocnemius'],['Soleus'],"['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']",[''],['']
Weighted Bent-knee Lying Twist,Auxiliary,Isolated,Pull,['Obliques'],"['Psoas major', 'Quadratus lumborum', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids', 'Deltoid, Posterior', 'Triceps', 'Adductors, Hip']",[''],['']
Dumbbell Preacher Curl,Auxiliary,Isolated,Pull,['Brachialis'],"['Biceps Brachii', 'Brachioradialis']",['Wrist Flexors'],[''],['']
Weighted Neck Extension,Basic or Auxiliary,Isolated,Pull,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[''],['']
Dumbbell Rear Lunge,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Trapezius, Upper', 'Trapezius, Lower', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Barbell Lunge,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Tibialis Anterior', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Band-assisted Neutral Grip Pull-up,Basic,Compound,Pull,['Latissimus Dorsi'],"['Brachialis', 'Brachioradialis', 'Biceps Brachii', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Trapezius, Lower', 'Pectoralis Major, Sternal', 'Pectoralis Minor']",[''],"['Triceps, Long Head']",['']
Lever Pulldown (parallel grip),Basic,Compound,Pull,['Latissimus Dorsi'],"['Biceps Brachii', 'Brachialis', 'Brachioradialis', 'Teres Major', 'Rhomboids', 'Levator Scapulae', 'Pectoralis Minor', 'Trapezius, Lower', 'Pectoralis Major, Sternal']",[''],"['Triceps, Long Head']",['']
Dumbbell Upright Shoulder External Rotation (with support),Auxiliary,Isolated,Pull,['Teres Minor'],"['Infraspinatus', 'Deltoid, Posterior', 'Supraspinatus']","['Serratus Anterior', 'Wrist Extensors']",[''],['']
Weighted Hyperextension,Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['See comments'],[''],['']
Cable Bar Pushdown (forward leaning),Basic or Auxiliary,Isolated,Push,['Triceps Brachii'],[''],"['Latissimus Dorsi', 'Teres Major', 'Deltoid, Posterior', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Trapezius, Lower', 'Rectus Abdominis', 'Obliques', 'Wrist Flexors']",[''],['Erector Spinae']
Triceps Dip (between benches),Basic,Compound,Push,['Triceps Brachii'],"['Deltoid, Anterior', 'Pectoralis Major, Sternal', 'Pectoralis Major, Clavicular', 'Pectoralis Minor', 'Rhomboids', 'Levator Scapulae', 'Latissimus Dorsi']","['Trapezius, Lower']",['Biceps Brachii'],['']
Lever Bench Press,Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",['']
Dumbbell Side Bend,Auxiliary,Isolated,Pull,['Obliques'],"['Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis']","['Trapezius, Upper', 'Trapezius, Middle', 'Levator Scapulae', 'Gluteus Medius', 'Gluteus Minimus']",[''],['']
Barbell Incline Front Raise,Auxiliary,Isolated,Push,"['Deltoid, Anterior']","['Pectoralis Major, Clavicular', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Serratus Anterior', 'Wrist Extensors']",[''],['']
Safety Barbell Squat (long handles),Basic,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
Cambered Barbell Seated Shrug,Basic or Auxiliary,Isolated,Pull,"['Trapezius, Upper']","['Trapezius, Middle', 'Levator Scapulae']",['No significant stabilizers'],[''],['']
Lever Lateral Raise,Basic or Auxiliary,Isolated,Pull,"['Deltoid, Lateral']","['Deltoid, Anterior', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations']","['Trapezius, Upper', 'Levator Scapulae']",[''],['']
Angled Side Bridge,Auxiliary,Isolated,Push,['Obliques'],"['Gluteus Medius', 'Gluteus Minimus', 'Tensor Fasciae Latae', 'Quadratus lumborum', 'Psoas major', 'Iliocastalis lumborum', 'Iliocastalis thoracis', 'Adductors, Hip', 'Pectineus', 'Gracilis', 'Gluteus Maximus, Lower Fibers', 'Deltoid, Lateral', 'Supraspinatus', 'Trapezius, Middle', 'Trapezius, Lower', 'Serratus Anterior, Inferior Digitations', 'Levator Scapulae']","['Latissimus dorsi', 'Pectoralis major', 'Pectoralis minor']",[''],['']
Lever Chest Press (plate loaded),Basic,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii']",[''],"['Biceps Brachii, Short Head']",['']
Cable Seated Rear Lateral Raise,Auxiliary,Isolated,Pull,"['Deltoid, Posterior']","['Infraspinatus', 'Teres Minor', 'Deltoid, Lateral', 'Trapezius, Middle', 'Trapezius, Lower', 'Rhomboids']","['Triceps Brachii', 'Wrist Extensors']",[''],['']
Suspended Kneeling Rollout,Auxiliary,Isolated,Push,[''],"['Latissimus Dorsi', 'Teres Major', 'Pectoralis Major, Sternal', 'Pectoralis Minor', 'Deltoid, Posterior', 'Rhomboids']","['Obliques', 'Iliopsoas', 'Tensor Fasciae Latae', 'Sartorius', 'Pectineus', 'Adductor Longus', 'Adductor Brevis', 'Triceps Brachii', 'Pectoralis Major, Clavicular', 'Wrist Flexors']",['Rectus Femoris'],['Erector Spinae']
Barbell Single Leg Split Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus']","['Hamstrings', 'Gastrocnemius']",['']
Weighted Neck Harness Extension,Basic or Auxiliary,Isolated,Pull,['Splenius'],"['Trapezius, Upper', 'Levator Scapulae', 'Erector Spinae, Cervicis & Capitis Fibers', 'Sternocleidomastoid, Posterior Fibers']",['No significant stabilizers'],[''],['']
Weighted Vertical Leg Raise,Auxiliary,Isolated,Pull,['Iliopsoas'],"['Tensor Fasciae Latae', 'Pectineus', 'Sartorius', 'Adductor Longus', 'Adductor Brevis']","['Rectus Abdominis', 'Obliques', 'Latissimus Dorsi', 'Pectoralis Minor', 'Pectoralis Major, Sternal', 'Trapezius, Lower']",['Rectus Femoris'],['']
Dumbbell Lateral Step-up,Auxiliary,Compound,Push,['Gluteus Maximus'],"['Quadriceps', 'Adductor Magnus', 'Soleus', 'Gastrocnemius (Following Leg)']","['Erector Spinae', 'Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius (Lead Leg)']",['Rectus Abdominis']
Cable Standing Decline Chest Press,Auxiliary,Compound,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, Clavicular', 'Deltoid, Anterior', 'Triceps Brachii', 'Pectoralis Minor']",[''],"['Biceps Brachii, Short Head']",['']
Hyperextension (arms crossed),Basic or Auxiliary,Compound,Pull,['Erector Spinae'],"['Gluteus Maximus', 'Hamstrings', 'Adductor Magnus']",['No significant stabilizers'],[''],['']
Lever Single Leg Split V-Squat,Auxiliary,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']","['Gluteus Medius', 'Gluteus Minimus', 'Quadratus Lumborum', 'Obliques']","['Hamstrings', 'Gastrocnemius']",['']
Safety Barbell Squat (self-spotting),Basic,Compound,Push,['Quadriceps'],"['Gluteus Maximus', 'Adductor Magnus', 'Soleus']",['Erector Spinae'],"['Hamstrings', 'Gastrocnemius']","['Rectus Abdominis', 'Obliques']"
