exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Dumbbell One Arm Shoulder Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Deltoid, Anterior']","['Deltoid, LateralSupraspinatusTriceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'SupraspinatusTriceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Triceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Trapezius, LowerSerratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Serratus Anterior, Inferior DigitationsPectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Pectoralis Major, ClavicularObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'ObliquesPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Psoas majorIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Trapezius, UpperLevator Scapulae', 'Levator Scapulae']"
Lever Shoulder Press,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,"['Deltoid, Anterior']","['Deltoid, LateralSupraspinatusPectoralis Major, ClavicularTriceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'SupraspinatusPectoralis Major, ClavicularTriceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Pectoralis Major, ClavicularTriceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Triceps BrachiiTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, LowerSerratus Anterior, Inferior Digitations', 'Serratus Anterior, Inferior Digitations']","['Trapezius, UpperLevator Scapulae', 'Levator Scapulae']"
Lever Shrug (plate loaded),BasicMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Trapezius, Upper']","['Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']",['Erector Spinae']
Smith Single Leg Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Cable Twisting Chest Press,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiObliquesSerratus Anterior', 'Deltoid, AnteriorTriceps BrachiiObliquesSerratus Anterior', 'Triceps BrachiiObliquesSerratus Anterior', 'ObliquesSerratus Anterior', 'Serratus Anterior']",['Rectus Abdominis']
Lever 45° Leg Press (plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Cable One Arm Incline Push,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Serratus Anterior'],"['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps BrachiiObliques', 'Deltoid, AnteriorTriceps BrachiiObliques', 'Triceps BrachiiObliques', 'Obliques']",['Rectus Femoris']
Lever Shrug,BasicMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Trapezius, Upper']","['Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']",['Erector Spinae']
Lever Incline Bench Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Clavicular']","['Pectoralis Major, SternalDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Sled Leg Hip Raise (ab coaster),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Rectus Abdominis'],"['IliopsoasTensor Fasciae LataeSartoriusRectus FemorisObliques', 'Tensor Fasciae LataeSartoriusRectus FemorisObliques', 'SartoriusRectus FemorisObliques', 'Rectus FemorisObliques', 'Obliques']","['Pectoralis Major, SternalLatissimus DorsiTeres MajorDeltoid, PosteriorTriceps, Long Head', 'Latissimus DorsiTeres MajorDeltoid, PosteriorTriceps, Long Head', 'Teres MajorDeltoid, PosteriorTriceps, Long Head', 'Deltoid, PosteriorTriceps, Long Head', 'Triceps, Long Head']"
