exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Lever Single Leg Split V-Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Lever Squat (plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']"
Side Bridge Hip Abduction,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Tensor Fasciae LataeGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']","['ObliquesQuadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Quadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Psoas majorIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Latissimus dorsiPectoralis minorLevator Scapulae', 'Pectoralis minorLevator Scapulae', 'Levator Scapulae']"
Sled One Hand Grip,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Wrist Flexors'],['None'],['No significant stabilizers']
Barbell Decline Bench Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Dumbbell Lateral Step-up,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleusGastrocnemius (following leg)', 'Adductor MagnusSoleusGastrocnemius (following leg)', 'SoleusGastrocnemius (following leg)', 'Gastrocnemius (following leg)']","['Erector SpinaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Weighted Twisting Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],"['Rectus AbdominisPsoas major', 'Psoas major']",['No significant stabilizers']
Lever Lying Rear Lateral Raise,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Deltoid, Posterior']","['InfraspinatusTeres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Teres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, LowerRhomboids', 'Rhomboids']",['No significant stabilizers']
Cable Bent-over Triceps Extension,Basic or AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Triceps Brachii'],['None'],"['Deltoid, AnteriorPectoralis Major, ClavicularWrist FlexorsRectus AbdominisObliques', 'Pectoralis Major, ClavicularWrist FlexorsRectus AbdominisObliques', 'Wrist FlexorsRectus AbdominisObliques', 'Rectus AbdominisObliques', 'Obliques']"
Cable Rear Lunge,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Trapezius, UpperTrapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Trapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Levator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Cable Alternating Front Raise,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Deltoid, Anterior']","['Pectoralis Major, ClavicularDeltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Deltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, LowerSerratus Anterior, Inferior Digitations', 'Serratus Anterior, Inferior Digitations']","['Trapezius, UpperLevator ScapulaeWrist Extensors', 'Levator ScapulaeWrist Extensors', 'Wrist Extensors']"
Hyperextension (arms crossed),Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusHamstringsAdductor Magnus', 'HamstringsAdductor Magnus', 'Adductor Magnus']",['No significant stabilizers']
Lever Lying Hip Extension (plate loaded),AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gluteus Maximus'],['Adductor Magnus'],[]
"Lever Wide Grip Seated Row (high bar, plate loaded)",BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,"['Back, General']","['Trapezius, MiddleTrapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Trapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'RhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Latissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Deltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'InfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'BrachialisBrachioradialisPectoralis Major, Sternal', 'BrachioradialisPectoralis Major, Sternal', 'Pectoralis Major, Sternal']",['']
Sled Standing Glute Kickback,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor Magnus', 'Adductor Magnus']","['ObliquesErector SpinaeQuadratus LumborumGluteus MediusGluteus Minimus', 'Erector SpinaeQuadratus LumborumGluteus MediusGluteus Minimus', 'Quadratus LumborumGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Cable Wide Grip Straight Back Seated Row,Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,"['Back, General']","['Trapezius, MiddleTrapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Trapezius, LowerRhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'RhomboidsLatissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Latissimus DorsiTeres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MajorDeltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Deltoid, PosteriorInfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'InfraspinatusTeres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'Teres MinorBrachialisBrachioradialisPectoralis Major, Sternal', 'BrachialisBrachioradialisPectoralis Major, Sternal', 'BrachioradialisPectoralis Major, Sternal', 'Pectoralis Major, Sternal']","['Erector SpinaeHamstringsGluteus MaximusAdductor Magnus', 'HamstringsGluteus MaximusAdductor Magnus', 'Gluteus MaximusAdductor Magnus', 'Adductor Magnus']"
Barbell Front Raise,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Deltoid, Anterior']","['Pectoralis Major, ClavicularDeltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Deltoid, LateralTrapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, MiddleTrapezius, LowerSerratus Anterior, Inferior Digitations', 'Trapezius, LowerSerratus Anterior, Inferior Digitations', 'Serratus Anterior, Inferior Digitations']","['Trapezius, UpperLevator ScapulaeWrist Extensors', 'Levator ScapulaeWrist Extensors', 'Wrist Extensors']"
Dumbbell Seated Supination,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Supinator'],['Biceps Brachii'],['']
45° Hyperextension (hands behind hips),Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusHamstringsAdductor Magnus', 'HamstringsAdductor Magnus', 'Adductor Magnus']",['No significant stabilizers']
Band Resistive Neck Retraction,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Splenius'],[''],"['Trapezius, UpperLevator ScapulaeErector Spinae, Cervicis & Capitis FibersLongus capitisLongus colliRectus capitus', 'Levator ScapulaeErector Spinae, Cervicis & Capitis FibersLongus capitisLongus colliRectus capitus', 'Erector Spinae, Cervicis & Capitis FibersLongus capitisLongus colliRectus capitus', 'Longus capitisLongus colliRectus capitus', 'Longus colliRectus capitus', 'Rectus capitus']"
Lever 45° Reverse Calf Press (plate loaded),Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Tibialis Anterior'],['None'],['No significant stabilizers']
"45° Hyperextension (on stability ball, hands behind neck)",Basic or AuxiliaryMechanicsCompoundForcePull,CompoundForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusHamstringsAdductor Magnus', 'HamstringsAdductor Magnus', 'Adductor Magnus']",['No significant stabilizers']
Dumbbell Bench Press,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Lever Grip,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Wrist Flexors'],['None'],['No significant stabilizers']
Self-assisted Squat,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Partner-assisted Chin-up,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Latissimus Dorsi'],"['BrachialisBrachioradialisTeres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'BrachioradialisTeres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Teres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Deltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'RhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Levator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Trapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Trapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Pectoralis Major, SternalPectoralis Minor', 'Pectoralis Minor']",['']
Smith Straight Leg Deadlift,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Hamstrings'],"['Erector SpinaeGluteus MaximusAdductor Magnus', 'Gluteus MaximusAdductor Magnus', 'Adductor Magnus']","['Trapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'RhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Latissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Trapezius, UpperLevator ScapulaeTrapezius, Lower', 'Levator ScapulaeTrapezius, Lower', 'Trapezius, Lower']"
Cable Side Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],"['Quadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Psoas majorIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Latissimus DorsiTeres MajorPectoralis Major, SternalPectoralis MinorRhomboidsLevator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Teres MajorPectoralis Major, SternalPectoralis MinorRhomboidsLevator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Pectoralis Major, SternalPectoralis MinorRhomboidsLevator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Pectoralis MinorRhomboidsLevator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'RhomboidsLevator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Levator ScapulaeTrapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Trapezius, LowerTriceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'Triceps, Long HeadBrachialisBrachioradialisBiceps Brachii', 'BrachialisBrachioradialisBiceps Brachii', 'BrachioradialisBiceps Brachii', 'Biceps Brachii']"
Cable Chest Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Weighted Twisting Sit-up,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Obliques'],"['IliopsoasTensor Fasciae LataeRectus FemorisSartoriusRectus Abdominis', 'Tensor Fasciae LataeRectus FemorisSartoriusRectus Abdominis', 'Rectus FemorisSartoriusRectus Abdominis', 'SartoriusRectus Abdominis', 'Rectus Abdominis']",['Tibialis Anterior']
Dumbbell Seated Pronation,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Pronators'],['None'],['No significant stabilizers']
Lever Power Twist (plate loaded),PowerMechanicsCompoundForcePush,CompoundForcePush,Push,[''],[''],['']
Split Squat,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Smith Split Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['Erector Spinae']
Safety Barbell Squat,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['Erector Spinae']
Lever 45° Calf Press (plate loaded),BasicMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gastrocnemius'],['Soleus'],['No significant stabilizers']
Lever Lying Leg Press (custom - plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Lever Straight-back Stiff-leg Deadlift (plate loaded),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Gluteus Maximus'],"['HamstringsAdductor Magnus', 'Adductor Magnus']","['Erector SpinaeQuadricepsTrapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'QuadricepsTrapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Trapezius, MiddleRhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'RhomboidsLatissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Latissimus DorsiTrapezius, UpperLevator ScapulaeTrapezius, Lower', 'Trapezius, UpperLevator ScapulaeTrapezius, Lower', 'Levator ScapulaeTrapezius, Lower', 'Trapezius, Lower']"
Glute-Ham Raise (hands behind neck),Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Hamstrings'],"['Gluteus MaximusAdductor MagnusGastrocnemiusGracilisSartoriusPopliteus', 'Adductor MagnusGastrocnemiusGracilisSartoriusPopliteus', 'GastrocnemiusGracilisSartoriusPopliteus', 'GracilisSartoriusPopliteus', 'SartoriusPopliteus', 'Popliteus']",['Erector Spinae']
Lever V-Squat,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Smith Squat,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['Erector Spinae']
Sled Single Leg Hack Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Lever Single Leg Seated Leg Press,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']",['']
Weighted Hanging Leg Raise,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Iliopsoas'],"['Tensor Fasciae LataePectineusSartoriusAdductor LongusAdductor Brevis', 'PectineusSartoriusAdductor LongusAdductor Brevis', 'SartoriusAdductor LongusAdductor Brevis', 'Adductor LongusAdductor Brevis', 'Adductor Brevis']","['Rectus AbdominisObliques', 'Obliques']"
Romanian Deadlift,PowerMechanicsCompoundForcePull,CompoundForcePull,Pull,[''],[''],['']
Alternating Bird Dog,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Erector Spinae'],"['Gluteus MaximusTrapezius, LowerTrapezius, MiddleDeltoid, AnteriorDeltoid, Lateral', 'Trapezius, LowerTrapezius, MiddleDeltoid, AnteriorDeltoid, Lateral', 'Trapezius, MiddleDeltoid, AnteriorDeltoid, Lateral', 'Deltoid, AnteriorDeltoid, Lateral', 'Deltoid, Lateral']","['Gluteus mediusGluteus minimusPiriformisObturator externusPectoralis Major, SternalPectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'Gluteus minimusPiriformisObturator externusPectoralis Major, SternalPectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'PiriformisObturator externusPectoralis Major, SternalPectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'Obturator externusPectoralis Major, SternalPectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'Pectoralis Major, SternalPectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'Pectoralis Major, ClavicularSerratus AnteriorTriceps Brachii', 'Serratus AnteriorTriceps Brachii', 'Triceps Brachii']"
Lever Seated Reverse Fly (parallel grip),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Deltoid, Posterior']","['InfraspinatusTeres MinorDeltoid, LateralTrapezius, MiddleTrapezius, LowerRhomboids', 'Teres MinorDeltoid, LateralTrapezius, MiddleTrapezius, LowerRhomboids', 'Deltoid, LateralTrapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, LowerRhomboids', 'Rhomboids']","['Triceps BrachiiWrist Extensors', 'Wrist Extensors']"
Dumbbell Standing Calf Raise,BasicMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gastrocnemius'],['Soleus'],"['Trapezius, UpperTrapezius, MiddleLevator ScapulaeGluteus MediusGluteus Minimus', 'Trapezius, MiddleLevator ScapulaeGluteus MediusGluteus Minimus', 'Levator ScapulaeGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Decline Rear Bridge,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Erector Spinae'],[''],['Gluteus Maximus']
Sled Squat,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']"
Dumbbell One Arm Triceps Extension (on bench),Basic or AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Triceps Brachii'],['None'],"['Wrist ExtensorsFlexor Carpi Ulnaris', 'Flexor Carpi Ulnaris']"
Lever Incline Shoulder Raise,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Serratus Anterior'],"['Pectoralis Major, Clavicular']","['Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']"
Barbell Deadlift,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Gluteus Maximus'],"['QuadricepsAdductor MagnusHamstrings (top half)Soleus', 'Adductor MagnusHamstrings (top half)Soleus', 'Hamstrings (top half)Soleus', 'Soleus']","['Erector SpinaeTrapezius, MiddleTrapezius, UpperLevator ScapulaeRhomboids', 'Trapezius, MiddleTrapezius, UpperLevator ScapulaeRhomboids', 'Trapezius, UpperLevator ScapulaeRhomboids', 'Levator ScapulaeRhomboids', 'Rhomboids']"
Incline Twisting Sit-up,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Obliques'],"['IliopsoasTensor Fasciae LataeRectus FemorisSartoriusRectus Abdominis', 'Tensor Fasciae LataeRectus FemorisSartoriusRectus Abdominis', 'Rectus FemorisSartoriusRectus Abdominis', 'SartoriusRectus Abdominis', 'Rectus Abdominis']",['Tibialis Anterior']
Smith Standing Leg Calf Raise,BasicMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gastrocnemius'],['Soleus'],['No significant stabilizers']
Smith Donkey Calf Raise,BasicMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Gastrocnemius'],['Soleus'],"['Serratus AnteriorPectoralis MinorPectoralis Major, SternalPectoralis Major, Clavicular', 'Pectoralis MinorPectoralis Major, SternalPectoralis Major, Clavicular', 'Pectoralis Major, SternalPectoralis Major, Clavicular', 'Pectoralis Major, Clavicular']"
Cable Triceps Extension (with rope),Basic or AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Triceps Brachii'],['None'],"['Deltoid, AnteriorPectoralis\nMajor, ClavicularWrist Flexors', 'Pectoralis\nMajor, ClavicularWrist Flexors', 'Wrist Flexors']"
Dumbbell Side Bend,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],"['Quadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Psoas majorIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Trapezius, UpperTrapezius, MiddleLevator ScapulaeGluteus MediusGluteus Minimus', 'Trapezius, MiddleLevator ScapulaeGluteus MediusGluteus Minimus', 'Levator ScapulaeGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']"
Push-up Plus,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Serratus Anterior'],"['Pectoralis Major, SternalPectoralis Major, ClavicularPectoralis MinorDeltoid, AnteriorTriceps Brachii', 'Pectoralis Major, ClavicularPectoralis MinorDeltoid, AnteriorTriceps Brachii', 'Pectoralis MinorDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']","['Rectus AbdominisObliquesQuadriceps', 'ObliquesQuadriceps', 'Quadriceps']"
Barbell Board Press,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']","['Erector SpinaeGluteus Maximus', 'Gluteus Maximus']"
Side Crunch (on stability ball),AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],['Rectus Abdominis'],['No significant stabilizers']
Lever Parallel Grip Incline Chest Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Clavicular']","['Pectoralis Major, SternalDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Parallel Close Grip Pull-up,BasicMechanicsCompoundForcePull,CompoundForcePull,Pull,['Latissimus Dorsi'],"['BrachialisBrachioradialisTeres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'BrachioradialisTeres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Teres MajorDeltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Deltoid, PosteriorRhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'RhomboidsLevator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Levator ScapulaeTrapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Trapezius, LowerTrapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Trapezius, MiddlePectoralis Major, SternalPectoralis Minor', 'Pectoralis Major, SternalPectoralis Minor', 'Pectoralis Minor']",['']
Machine-assisted Triceps Dip,BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Triceps Brachii'],"['Deltoid, AnteriorPectoralis Major, SternalPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus Dorsi', 'Pectoralis Major, SternalPectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus Dorsi', 'Pectoralis Major, ClavicularPectoralis MinorRhomboidsLevator ScapulaeLatissimus Dorsi', 'Pectoralis MinorRhomboidsLevator ScapulaeLatissimus Dorsi', 'RhomboidsLevator ScapulaeLatissimus Dorsi', 'Levator ScapulaeLatissimus Dorsi', 'Latissimus Dorsi']","['Trapezius, Lower']"
Barbell Incline Bench Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Clavicular']",['Synergists'],['']
